"Target","Indicator","Indicator Name","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"4.5","4.5.1","Adult literacy rate, population 15+ years, adjusted gender parity index (GPIA)","0.93","0.94","0.94","0.94","0.95","0.95","","0.95","","",""
"4.5","4.5.1","Elderly literacy rate, population 65+ years, urban, adjusted gender parity index (GPIA)","0.73","0.74","0.74","0.75","","","","","","",""
"4.5","4.5.1","Adult literacy rate, population 15+ years, adjusted location parity index (LPIA)","0.95","0.95","0.95","0.95","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)","0.70","0.72","0.73","0.75","","","","","","",""
"4.5","4.5.1","Literacy rate, population 25-64 years, rural, adjusted gender parity index (GPIA)","0.92","0.92","0.92","0.93","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)","0.47","0.44","0.45","0.46","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)","0.00","0.00","0.00","0.00","","","","","","",""
"4.5","4.5.1","Youth literacy rate, population 15-24 years, urban, adjusted gender parity index (GPIA)","0.99","0.99","0.99","0.99","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, male, adjusted location parity index (LPIA)","0.35","0.41","0.42","0.42","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, adjusted gender parity index (GPIA)","0.67","0.70","0.72","0.73","0.75","0.77","","0.80","","",""
"4.5","4.5.1","Completion rate, upper secondary education, adjusted gender parity index (GPIA)","0.95","1.05","1.03","1.02","1.03","1.04","1.05","","","",""
"4.5","4.5.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-64 years old, adjusted gender parity index (GPIA)","0.90","0.90","0.90","0.90","0.90","0.90","0.90","1.00","0.90","",""
"4.5","4.5.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, adjusted location parity index (LPIA)","0.94","","","","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, adjusted location parity index (LPIA)","0.30","0.35","0.35","0.35","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, male, adjusted location parity index (LPIA)","0.00","0.00","0.00","0.00","","","","","","",""
"4.5","4.5.1","Educational attainment: at least some primary (ISCED 1), population 25+ years, female, adjusted location parity index (LPIA)","0.90","0.91","0.91","0.91","","","","","","",""
"4.5","4.5.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 25-54 years old, adjusted gender parity index (GPIA)","0.90","0.90","0.90","1.00","0.90","0.90","1.00","1.00","0.90","",""
"4.5","4.5.1","Educational attainment rate, completed upper secondary education or higher, population 25+ years, adjusted location parity index (LPIA)","0.40","0.45","0.46","0.46","","","","","","",""
"4.5","4.5.1","Gross intake ratio to the last grade of lower secondary general education, adjusted gender parity index (GPIA)","0.95","0.96","0.97","0.96","","0.97","0.98","0.98","1.01","",""
"4.5","4.5.1","Adjusted net enrolment rate, one year before the official primary entry age, adjusted gender parity index (GPIA)","0.96","0.98","0.98","0.97","0.97","0.97","0.97","0.97","0.97","",""
"4.5","4.5.1","Elderly literacy rate, population 65+ years, adjusted gender parity index (GPIA)","0.71","0.72","0.73","0.73","0.85","0.76","","0.78","","",""
"4.5","4.5.1","Adult literacy rate, population 15+ years, urban, adjusted gender parity index (GPIA)","0.95","0.94","0.95","0.95","","","","","","",""
"4.5","4.5.1","Literacy rate, population 25-64 years, adjusted gender parity index (GPIA)","0.95","0.95","0.96","0.96","0.96","0.97","","0.97","","",""
"4.5","4.5.1","Adult literacy rate, population 15+ years, female, adjusted location parity index (LPIA)","0.92","0.92","0.92","0.92","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed lower secondary education or higher, population 25+ years, adjusted location parity index (LPIA)","0.53","0.59","0.60","0.61","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed upper secondary education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)","0.43","0.39","0.40","0.41","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed lower secondary education or higher, population 25+ years, female, adjusted location parity index (LPIA)","0.41","0.45","0.46","0.47","","","","","","",""
"4.5","4.5.1","Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)","0.98","0.98","0.98","0.98","","","","","","",""
"4.5","4.5.1","Educational attainment: at least some primary (ISCED 1), population 25+ years, rural, adjusted gender parity index (GPIA)","0.87","0.86","0.86","0.86","","","","","","",""
"4.5","4.5.1","Elderly literacy rate, population 65+ years, female, adjusted location parity index (LPIA)","0.87","0.87","0.87","0.87","","","","","","",""
"4.5","4.5.1","Youth literacy rate, population 15-24 years, male, adjusted location parity index (LPIA)","1.00","1.00","1.00","1.00","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, female, adjusted location parity index (LPIA)","0.00","0.00","0.00","0.00","","","","","","",""
"4.5","4.5.1","Literacy rate, population 25-64 years, urban, adjusted gender parity index (GPIA)","0.96","0.96","0.96","0.96","","","","","","",""
"4.5","4.5.1","Educational attainment: at least some primary (ISCED 1), population 25+ years, adjusted gender parity index (GPIA)","0.92","0.92","0.92","0.93","0.93","0.93","","0.94","","",""
"4.5","4.5.1","Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in reading, adjusted gender parity index (GPIA)","1.21","","","1.18","","","1.14","","","",""
"4.5","4.5.1","Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, female, adjusted location parity index (LPIA)","0.23","0.25","0.26","0.26","","","","","","",""
"4.5","4.5.1","Completion rate, primary education, adjusted gender parity index (GPIA)","1.00","0.99","0.99","1.00","1.00","1.00","1.00","","","",""
"4.5","4.5.1","Educational attainment rate, completed primary education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)","0.77","0.76","0.76","0.76","","","","","","",""
"4.5","4.5.1","Out-of-school rate for youth of upper secondary school age, adjusted gender parity index (GPIA)","1.16","1.22","1.14","1.14","1.06","1.31","1.03","1.11","1.08","",""
"4.5","4.5.1","Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, adjusted native parity index (NPIA)","0.82","","","0.80","","","1.00","","","",""
"4.5","4.5.1","Educational attainment rate, completed primary education or higher, population 25+ years, female, adjusted location parity index (LPIA)","0.80","0.81","0.81","0.81","","","","","","",""
"4.5","4.5.1","Gross enrolment ratio for tertiary education, adjusted gender parity index (GPIA)","0.85","0.86","0.87","0.87","0.87","0.88","0.90","0.94","0.97","",""
"4.5","4.5.1","Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, adjusted gender parity index (GPIA)","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","",""
"4.5","4.5.1","Educational attainment rate, completed primary education or higher, population 25+ years, adjusted location parity index (LPIA)","0.86","0.88","0.88","0.88","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, adjusted location parity index (LPIA)","0.00","0.00","0.00","0.00","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed primary education or higher, population 25+ years, male, adjusted location parity index (LPIA)","0.93","0.94","0.94","0.94","","","","","","",""
"4.5","4.5.1","Out-of-school rate for adolescents and youth of lower and upper secondary school age, adjusted gender parity index (GPIA)","1.21","1.25","1.17","1.15","1.09","1.25","1.07","1.13","1.11","",""
"4.5","4.5.1","Educational attainment: at least some primary (ISCED 1), population 25+ years, male, adjusted location parity index (LPIA)","0.97","0.98","0.98","0.98","","","","","","",""
"4.5","4.5.1","Proportion of 15-24 year-olds enrolled in vocational education, adjusted gender parity index (GPIA)","0.79","0.83","0.86","0.89","0.91","0.89","0.94","0.90","0.89","",""
"4.5","4.5.1","Elderly literacy rate, population 65+ years, adjusted location parity index (LPIA)","0.91","0.92","0.92","0.92","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)","0.00","0.00","0.00","0.00","","","","","","",""
"4.5","4.5.1","Literacy rate, population 25-64 years, female, adjusted location parity index (LPIA)","0.94","0.95","0.95","0.95","","","","","","",""
"4.5","4.5.1","Youth literacy rate, population 15-24 years, adjusted location parity index (LPIA)","0.99","1.00","1.00","1.00","","","","","","",""
"4.5","4.5.1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 55-64 years old, adjusted gender parity index (GPIA)","0.60","0.90","1.70","1.50","1.40","1.60","1.60","1.50","1.40","",""
"4.5","4.5.1","Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)","0.89","0.89","0.89","0.89","","","","","","",""
"4.5","4.5.1","Educational attainment: at least some primary (ISCED 1), population 25+ years, urban, adjusted gender parity index (GPIA)","0.93","0.93","0.93","0.93","","","","","","",""
"4.5","4.5.1","Proportion of children/young people at the age of lower secondary education prepared for the future in reading, adjusted gender parity index (GPIA)","1.17","","","1.16","","","1.12","","","",""
"4.5","4.5.1","Educational attainment rate, completed lower secondary education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)","0.45","0.44","0.46","0.47","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed upper secondary education or higher, population 25+ years, adjusted gender parity index (GPIA)","0.66","0.67","0.68","0.69","0.71","0.72","","0.74","","",""
"4.5","4.5.1","Youth literacy rate, population 15-24 years, rural, adjusted gender parity index (GPIA)","0.98","0.99","0.99","0.99","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed lower secondary education or higher, population 25+ years, male, adjusted location parity index (LPIA)","0.62","0.69","0.70","0.70","","","","","","",""
"4.5","4.5.1","Out-of-school rate for youth of upper secondary school age, adjusted location parity index (household survey data) (LPIA)","","1.48","1.52","","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, female, adjusted location parity index (LPIA)","","0.21","0.22","0.21","","","","","","",""
"4.5","4.5.1","Out-of-school rate for adolescents of lower secondary school age, adjusted wealth parity index (household survey data) (WPIA)","","1.92","1.93","","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, male, adjusted location parity index (LPIA)","","0.17","0.18","0.09","","","","","","",""
"4.5","4.5.1","Completion rate, lower secondary education, adjusted location parity index (LPIA)","","0.95","0.95","","","","","","","",""
"4.5","4.5.1","Proportion of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, adjusted gender parity index (GPIA)","","1.17","1.22","1.11","1.09","1.01","0.99","1.00","1.02","",""
"4.5","4.5.1","Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, female, adjusted location parity index (LPIA)","","0.17","0.17","0.16","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, adjusted location parity index (LPIA)","","0.19","0.20","0.13","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, adjusted wealth parity index (household survey data) (WPIA)","","1.55","1.68","","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, adjusted gender parity index (GPIA)","","0.66","0.68","0.70","0.71","0.73","","0.75","","",""
"4.5","4.5.1","Completion rate, lower secondary education, adjusted wealth parity index (WPIA)","","0.81","0.81","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, adjusted gender parity index (household survey data) (GPIA)","","0.52","0.53","","","","","","","",""
"4.5","4.5.1","Proportion of pupils enrolled in primary education who are at least 2 years over-age for their current grade, adjusted gender parity index (GPIA)","","1.14","1.14","1.12","1.09","1.06","1.03","1.00","0.99","",""
"4.5","4.5.1","Completion rate, upper secondary education, adjusted location parity index (LPIA)","","0.54","0.61","","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, adjusted location parity index (LPIA)","","0.20","0.20","0.19","","","","","","",""
"4.5","4.5.1","Completion rate, primary education, adjusted wealth parity index (WPIA)","","0.98","0.97","","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, rural, adjusted gender parity index (GPIA)","","0.78","0.77","1.35","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)","","0.50","0.49","0.51","","","","","","",""
"4.5","4.5.1","Completion rate, upper secondary education, adjusted wealth parity index (WPIA)","","0.19","0.28","","","","","","","",""
"4.5","4.5.1","Completion rate, primary education, adjusted location parity index (LPIA)","","0.98","0.98","","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)","","0.67","0.68","0.70","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, adjusted gender parity index (GPIA)","","0.64","0.64","0.73","0.66","0.67","","0.68","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, adjusted gender parity index (GPIA)","","1.16","1.18","1.16","1.12","1.13","1.11","1.10","1.07","",""
"4.5","4.5.1","Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, urban, adjusted gender parity index (GPIA)","","0.63","0.64","0.64","","","","","","",""
"4.5","4.5.1","Out-of-school rate for adolescents of lower secondary school age, adjusted gender parity index (household survey data) (GPIA)","","1.58","1.56","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for youth of upper secondary school age, adjusted gender parity index (household survey data) (GPIA)","","1.16","1.16","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for youth of upper secondary school age, adjusted wealth parity index (household survey data) (WPIA)","","1.86","1.87","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for adolescents of lower secondary school age, adjusted location parity index (household survey data) (LPIA)","","1.00","1.22","","","","","","","",""
"4.5","4.5.1","Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, male, adjusted location parity index (LPIA)","","0.22","0.23","0.22","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, adjusted location parity index (household survey data) (LPIA)","","1.04","1.00","","","","","","","",""
"4.5","4.5.1","Gross intake ratio to the last grade of primary education, adjusted gender parity index (GPIA)","","0.98","0.99","0.99","1.00","1.00","1.00","0.99","0.99","",""
"4.5","4.5.1","Out-of-school rate for youth of upper secondary school age, poorest quintile, adjusted location parity index (household survey data) (LPIA)","","","1.09","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for youth of upper secondary school age, rural, adjusted gender parity index (household survey data) (GPIA)","","","1.34","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for youth of upper secondary school age, second quintile, adjusted gender parity index (household survey data) (GPIA)","","","1.05","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for adolescents of lower secondary school age, urban, middle quintile, adjusted gender parity index (household survey data) (GPIA)","","","0.97","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, fourth quintile, female, adjusted location parity index (household survey data) (LPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Completion rate, lower secondary education, rural, richest quintile, adjusted gender parity index (GPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, primary education, rural, poorest quintile, adjusted gender parity index (household survey data) (GPIA)","","","0.62","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, urban, male, adjusted wealth parity index (household survey data) (WPIA)","","","1.84","","","","","","","",""
"4.5","4.5.1","Completion rate, lower secondary education, rural, poorest quintile, adjusted gender parity index (GPIA)","","","0.81","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for adolescents of lower secondary school age, middle quintile, adjusted location parity index (household survey data) (LPIA)","","","1.22","","","","","","","",""
"4.5","4.5.1","Completion rate, upper secondary education, urban, richest quintile, adjusted gender parity index (GPIA)","","","1.06","","","","","","","",""
"4.5","4.5.1","Completion rate, lower secondary education, second quintile, adjusted gender parity index (GPIA)","","","0.95","","","","","","","",""
"4.5","4.5.1","Completion rate, upper secondary education, female, adjusted wealth parity index (WPIA)","","","0.24","","","","","","","",""
"4.5","4.5.1","Completion rate, primary education, rural, adjusted wealth parity index (WPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for adolescents of lower secondary school age, urban, richest quintile, adjusted gender parity index (household survey data) (GPIA)","","","0.26","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, second quintile, female, adjusted location parity index (household survey data) (LPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Completion rate, primary education, urban, poorest quintile, adjusted gender parity index (GPIA)","","","0.98","","","","","","","",""
"4.5","4.5.1","Completion rate, upper secondary education, female, adjusted location parity index (LPIA)","","","0.53","","","","","","","",""
"4.5","4.5.1","Adjusted net attendance rate, one year before the official primary entry age, rural, middle quintile, adjusted gender parity index (GPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for youth of upper secondary school age, poorest quintile, male, adjusted location parity index (household survey data) (LPIA)","","","0.97","","","","","","","",""
"4.5","4.5.1","Completion rate, primary education, rural, poorest quintile, adjusted gender parity index (GPIA)","","","0.96","","","","","","","",""
"4.5","4.5.1","Completion rate, lower secondary education, urban, fourth quintile, adjusted gender parity index (GPIA)","","","0.97","","","","","","","",""
"4.5","4.5.1","Completion rate, upper secondary education, urban, poorest quintile, adjusted gender parity index (GPIA)","","","0.86","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for adolescents of lower secondary school age, fourth quintile, female, adjusted location parity index (household survey data) (LPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for youth of upper secondary school age, richest quintile, adjusted location parity index (household survey data) (LPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Completion rate, primary education, richest quintile, adjusted gender parity index (GPIA)","","","1.00","","","","","","","",""
"4.5","4.5.1","Completion rate, primary education, rural, adjusted gender parity index (GPIA)","","","0.97","","","","","","","",""
"4.5","4.5.1","Gross attendance ratio for tertiary education, rural, poorest quintile, adjusted gender parity index (GPIA)","","","0.43","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, primary education, urban, fourth quintile, adjusted gender parity index (household survey data) (GPIA)","","","0.30","","","","","","","",""
"4.5","4.5.1","Completion rate, upper secondary education, rural, adjusted wealth parity index (WPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Completion rate, upper secondary education, urban, middle quintile, adjusted gender parity index (GPIA)","","","1.02","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for youth of upper secondary school age, urban, middle quintile, adjusted gender parity index (household survey data) (GPIA)","","","0.81","","","","","","","",""
"4.5","4.5.1","Adjusted net attendance rate, one year before the official primary entry age, urban, richest quintile, adjusted gender parity index (GPIA)","","","0.93","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for adolescents of lower secondary school age, male, adjusted location parity index (household survey data) (LPIA)","","","0.85","","","","","","","",""
"4.5","4.5.1","Completion rate, upper secondary education, middle quintile, adjusted location parity index (LPIA)","","","1.06","","","","","","","",""
"4.5","4.5.1","Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, female, adjusted location parity index (LPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, primary education, rural, second quintile, adjusted gender parity index (household survey data) (GPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Completion rate, upper secondary education, second quintile, female, adjusted location parity index (LPIA)","","","0.81","","","","","","","",""
"4.5","4.5.1","Adjusted net attendance rate, one year before the official primary entry age, female, adjusted wealth parity index (WPIA)","","","0.84","","","","","","","",""
"4.5","4.5.1","Gross attendance ratio for tertiary education, second quintile, adjusted gender parity index (GPIA)","","","0.76","","","","","","","",""
"4.5","4.5.1","Completion rate, lower secondary education, urban, adjusted gender parity index (GPIA)","","","0.98","","","","","","","",""
"4.5","4.5.1","Gross attendance ratio for tertiary education, second quintile, adjusted location parity index (LPIA)","","","0.69","","","","","","","",""
"4.5","4.5.1","Gross attendance ratio for tertiary education, rural, fourth quintile, adjusted gender parity index (GPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, richest quintile, adjusted location parity index (household survey data) (LPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Adjusted net attendance rate, one year before the official primary entry age, urban, fourth quintile, adjusted gender parity index (GPIA)","","","1.02","","","","","","","",""
"4.5","4.5.1","Completion rate, lower secondary education, poorest quintile, adjusted gender parity index (GPIA)","","","0.87","","","","","","","",""
"4.5","4.5.1","Completion rate, primary education, middle quintile, male, adjusted location parity index (LPIA)","","","1.01","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, primary education, urban, poorest quintile, adjusted gender parity index (household survey data) (GPIA)","","","0.48","","","","","","","",""
"4.5","4.5.1","Completion rate, lower secondary education, urban, richest quintile, adjusted gender parity index (GPIA)","","","1.00","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, richest quintile, male, adjusted location parity index (household survey data) (LPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, primary education, rural, middle quintile, adjusted gender parity index (household survey data) (GPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Completion rate, primary education, urban, adjusted wealth parity index (WPIA)","","","0.97","","","","","","","",""
"4.5","4.5.1","Gross attendance ratio for tertiary education, urban, male, adjusted wealth parity index (WPIA)","","","0.08","","","","","","","",""
"4.5","4.5.1","Completion rate, upper secondary education, richest quintile, adjusted location parity index (LPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Gross attendance ratio for tertiary education, male, adjusted location parity index (LPIA)","","","0.40","","","","","","","",""
"4.5","4.5.1","Completion rate, upper secondary education, poorest quintile, adjusted location parity index (LPIA)","","","1.10","","","","","","","",""
"4.5","4.5.1","Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, female, adjusted location parity index (LPIA)","","","1.07","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, middle quintile, female, adjusted location parity index (household survey data) (LPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Completion rate, primary education, richest quintile, adjusted location parity index (LPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Gross attendance ratio for tertiary education, middle quintile, male, adjusted location parity index (LPIA)","","","0.93","","","","","","","",""
"4.5","4.5.1","Gross enrolment ratio, early childhood educational development programmes, adjusted gender parity index (GPIA)","","","0.92","0.92","0.98","0.80","0.77","0.76","0.72","",""
"4.5","4.5.1","Gross attendance ratio for tertiary education, rural, adjusted gender parity index (GPIA)","","","0.62","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for youth of upper secondary school age, female, adjusted location parity index (household survey data) (LPIA)","","","1.60","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for adolescents of lower secondary school age, rural, female, adjusted wealth parity index (household survey data) (WPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, fourth quintile, male, adjusted location parity index (household survey data) (LPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for youth of upper secondary school age, urban, richest quintile, adjusted gender parity index (household survey data) (GPIA)","","","1.05","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, middle quintile, adjusted location parity index (household survey data) (LPIA)","","","0.64","","","","","","","",""
"4.5","4.5.1","Completion rate, upper secondary education, middle quintile, male, adjusted location parity index (LPIA)","","","1.23","","","","","","","",""
"4.5","4.5.1","Gross attendance ratio for tertiary education, adjusted wealth parity index (WPIA)","","","0.10","","","","","","","",""
"4.5","4.5.1","Gross attendance ratio for tertiary education, poorest quintile, male, adjusted location parity index (LPIA)","","","1.46","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for adolescents of lower secondary school age, adjusted gender parity index (GPIA)","","","1.26","1.17","1.13","1.14","1.16","1.25","1.38","",""
"4.5","4.5.1","Gross attendance ratio for tertiary education, male, adjusted wealth parity index (WPIA)","","","0.12","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, primary education, urban, middle quintile, adjusted gender parity index (household survey data) (GPIA)","","","0.10","","","","","","","",""
"4.5","4.5.1","Completion rate, upper secondary education, middle quintile, adjusted gender parity index (GPIA)","","","0.98","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, male, adjusted wealth parity index (household survey data) (WPIA)","","","1.75","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, urban, adjusted gender parity index (household survey data) (GPIA)","","","0.52","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for youth of upper secondary school age, urban, female, adjusted wealth parity index (household survey data) (WPIA)","","","1.88","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, middle quintile, adjusted gender parity index (household survey data) (GPIA)","","","0.09","","","","","","","",""
"4.5","4.5.1","Completion rate, lower secondary education, rural, male, adjusted wealth parity index (WPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Adjusted net attendance rate, one year before the official primary entry age, richest quintile, male, adjusted location parity index (LPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Completion rate, primary education, rural, richest quintile, adjusted gender parity index (GPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Adjusted net attendance rate, one year before the official primary entry age, urban, female, adjusted wealth parity index (WPIA)","","","0.81","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for children of primary school age, middle quintile, male, adjusted location parity index (household survey data) (LPIA)","","","0.78","","","","","","","",""
"4.5","4.5.1","Completion rate, lower secondary education, second quintile, female, adjusted location parity index (LPIA)","","","1.07","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for youth of upper secondary school age, richest quintile, female, adjusted location parity index (household survey data) (LPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for youth of upper secondary school age, fourth quintile, adjusted gender parity index (household survey data) (GPIA)","","","1.15","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for adolescents of lower secondary school age, rural, second quintile, adjusted gender parity index (household survey data) (GPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for adolescents of lower secondary school age, rural, adjusted gender parity index (household survey data) (GPIA)","","","1.71","","","","","","","",""
"4.5","4.5.1","Completion rate, upper secondary education, second quintile, adjusted gender parity index (GPIA)","","","1.08","","","","","","","",""
"4.5","4.5.1","Gross attendance ratio for tertiary education, fourth quintile, male, adjusted location parity index (LPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Gross attendance ratio for tertiary education, rural, richest quintile, adjusted gender parity index (GPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Completion rate, upper secondary education, fourth quintile, adjusted gender parity index (GPIA)","","","1.15","","","","","","","",""
"4.5","4.5.1","Completion rate, primary education, middle quintile, female, adjusted location parity index (LPIA)","","","1.01","","","","","","","",""
"4.5","4.5.1","Completion rate, primary education, fourth quintile, male, adjusted location parity index (LPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Gross attendance ratio for tertiary education, fourth quintile, adjusted location parity index (LPIA)","","","0.75","","","","","","","",""
"4.5","4.5.1","Out-of-school rate for adolescents of lower secondary school age, urban, male, adjusted wealth parity index (household survey data) (WPIA)","","","1.88","","","","","","","",""
"4.5","4.5.1","Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, adjusted location parity index (LPIA)","","","0.00","","","","","","","",""
"4.5","4.5.1","Completion rate, primary education, urban, male, adjusted wealth parity index (WPIA)","","","0.98","","","","","","","",""
"4.5","4.5.1","Gross attendance ratio for tertiary education, richest quintile, adjusted location parity index (LPIA)","","","0.00","","","","","","","",""
